userId,movieId,rating
1000,168248,5
1000,115149,4
1000,91529,4.5
1000,58559,5
1000,6373,4
1000,122912,5
1000,78499,5
1000,89745,4
1000,99114,5
1000,1,4
1001,318,4.5
1001,79132,4.5
1001,296,4.5
1001,1036,3.5
1001,2571,4
1001,187595,3.5
1001,33794,4
1001,166528,3.5
1001,6365,2.5
1001,109487,5
1001,31878,5
1001,26934,5
1001,180297,5
1001,6618,5
1001,122916,4.5
1001,79702,4
1001,104241,4
1001,76251,4
1001,86332,3.5
1001,45672,3.5
1002,4022,5
1002,4995,5
1002,87222,3
1002,59784,3.5
1002,60069,3.5
1002,78637,3.5
1002,73017,3.5
1002,53996,4
1002,4306,4.5
1002,87520,2.5
1003,5349,5
1003,4896,5
1003,88125,5
1003,52722,3
1003,160980,5
1003,54001,5
1003,40815,3.5
1003,8368,3.5
1003,5816,4
1003,115971,2.5
1004,1240,4.5
1004,589,5
1004,46972,2
1004,97938,5
1004,86880,3.5
1004,192385,3.5
1004,45722,3
1004,119155,4
1004,144620,2.5
1004,6539,2.5
1005,102407,5
1005,480,5
1005,192579,4.5
1005,180985,3.5
1005,117529,3.5
1005,6550,3
1005,90522,4
1005,122904,4
1005,1544,3.5
1005,187593,5
1006,1527,4.5
1006,593,5
1006,1704,4.5
1006,148938,3.5
1006,159415,3.5
1006,49272,3
1006,3785,2
1006,1517,2
1006,2683,2.5
1006,4388,2.5
1005,2762,5
1005,108932,3.5
1005,84152,3
1005,167746,2.5
1005,36529,4.5
1005,70697,4.5
1005,116797,4
1005,3409,3.5
1005,6058,2
1005,43679,1.5
1007,49530,5
1007,50,5
1007,7373,3.5
1007,120466,4
1007,1198,2.5
1007,1291,4.5
1007,59615,2
1007,46335,4
1007,6383,2.5
1007,67923,3
1008,65514,4.5
1008,167018,3
1008,140174,4
1008,179895,2.5
1008,158735,3
1008,5444,4
1008,176651,2.5
1008,79553,3.5
1008,152591,3.5
1008,74754,1
1009,167976,3
1009,8914,3.5
1009,51662,3.5
1009,190183,3
1009,109673,3
1009,157671,3
1009,122924,3.5
1009,179955,2.5
1009,135536,3
1009,95167,3.5
1010,122912,5
1010,189333,4.5
1010,586,4.5
1010,2953,3
1010,122922,4
1010,111781,3
1010,91630,3.5
1010,31878,5
1010,89745,3
1010,122892,1
1011,58559,5
1011,91529,3.5
1011,480,4
1011,122916,4.5
1011,4022,3.5
1011,6550,1.5
1011,97938,2
1011,78637,1.5
1011,4306,1.5
1011,109804,0.5
1012,65514,4
1012,1527,5
1012,91653,3
1012,79553,3
1012,152591,3
1012,53464,2
1012,170891,4.5
1012,79232,1
1012,159972,0.5
1012,140962,0.5
1013,180297,5
1013,168248,3.5
1013,33794,4.5
1013,115149,3
1013,89745,3.5
1013,59315,4
1013,122882,3.5
1013,186985,2.5
1013,74754,0.5
1013,129707,0.5
1013,135258,0.5
1013,106892,1.5
1013,181739,0.5
1013,187715,1
1013,144576,2.5
1013,149586,1.5
1013,185489,1.5
1013,5255,1
1013,105355,1.5
1013,170729,0.5
1014,192365,4.5
1014,318,4
1014,1,5
1014,78499,4.5
1014,59315,3.5
1014,179401,3
1014,2403,3
1014,191367,2.5
1014,192307,1.5
1014,117490,0.5
1015,1196,5
1015,148626,4.5
1015,1210,3.5
1015,2628,1.5
1015,61160,2
1015,179819,2.5
1015,103772,3
1015,97938,3.5
1015,187595,1.5
1015,166528,4
1016,109487,5
1016,31878,4
1016,5952,5
1016,4993,5
1016,7153,5
1016,58559,4.5
1016,586,2
1016,3114,3
1016,2953,3
1016,1,3.5
1017,122912,5
1017,3147,4.5
1017,47,4
1017,112552,4.5
1017,858,3
1017,2959,5
1017,48780,3.5
1017,356,4.5
1017,2991,1.5
1017,49272,1.5
1018,99114,5
1018,59784,2.5
1018,1,3.5
1018,3114,3.5
1018,6618,4.5
1018,60069,4.5
1018,26934,4
1018,56782,3.5
1018,106782,2.5
1018,73881,4
1019,183837,3
1019,187541,3.5
1019,8961,4.5
1019,174055,5
1019,176101,3.5
1019,119145,4
1019,173941,3
1019,177615,2.5
1019,8957,1.5
1019,192283,4.5
1020,143347,3.5
1020,167370,0.5
1020,160980,2
1020,57368,3
1020,152077,3.5
1020,152081,3
1020,163645,4.5
1020,161634,5
1020,146656,4
1020,122904,4
1021,168248,4.5
1021,135143,3
1021,159755,3.5
1021,160565,4
1021,89745,5
1021,151455,2.5
1021,160271,2
1021,115149,4
1021,162606,1.5
1021,136864,1.5
1022,122882,5
1022,128360,4.5
1022,122900,3.5
1022,188301,3.5
1022,176101,4
1022,134368,4.5
1022,119145,3.5
1022,189333,4.5
1022,91630,3
1022,134130,4.5
1023,174055,4.5
1023,179817,4
1023,1,4
1023,180297,4.5
1023,88744,3.5
1023,179881,4.5
1023,175569,3
1023,171763,3.5
1023,173145,4.5
1023,112623,3
1024,193635,2.5
1024,1,4.5
1024,174055,3.5
1024,78499,4.5
1024,8984,4
1024,180031,2
1024,190195,4.5
1024,188857,4
1024,102028,4.5
1024,193859,3
1025,122892,5
1025,110439,3
1025,122201,3.5
1025,151157,2.5
1025,150872,3.5
1025,53322,2.5
1025,96762,4
1025,145130,1.5
1025,3034,2.5
1025,313,3
