userId,movieId,rating
1000,168248,4.9
1000,115149,4.9
1000,91529,4.8
1000,58559,4.8
1000,6373,4.7
1000,122912,5
1000,78499,4.6
1000,89745,4.8
1000,99114,5
1000,1,4.5
1001,318,4.9
1001,79132,4.9
1001,296,4.8
1001,1036,3.9
1001,2571,4.5
1001,187595,3.8
1001,33794,4.3
1001,166528,3.6
1001,6365,3.2
1001,109487,5
1001,31878,5
1001,26934,5
1001,180297,5
1001,6618,5
1001,122916,4.8
1001,79702,4.7
1001,104241,4.4
1001,76251,4.5
1001,86332,4.4
1001,45672,4
1002,4022,5
1002,4995,4.9
1002,87222,4.2
1002,59784,4.4
1002,60069,4
1002,78637,4.7
1002,73017,3.7
1002,53996,2.7
1002,4306,4.6
1002,87520,1.8
1003,5349,5
1003,4896,4.9
1003,88125,4.8
1003,52722,4.5
1003,160980,3.9
1003,54001,4
1003,40815,3.8
1003,8368,3.6
1003,5816,4.2
1003,115971,1.9
1004,1240,4.9
1004,589,4.6
1004,46972,4.4
1004,97938,5
1004,86880,4.2
1004,192385,3.7
1004,45722,3.2
1004,119155,2.8
1004,144620,3
1004,6539,2.6
1005,102407,5
1005,480,4.9
1005,192579,4.6
1005,180985,4.4
1005,117529,4.2
1005,6550,3.9
1005,90522,2.9
1005,122904,3.7
1005,1544,3.3
1005,187593,4
1006,1527,5
1006,593,5
1006,1704,4.9
1006,148938,4.5
1006,159415,3.6
1006,49272,3.5
1006,3785,2.9
1006,1517,2
1006,2683,2.2
1006,4388,2.8
1005,2762,5
1005,108932,4.1
1005,84152,3.8
1005,167746,4.3
1005,36529,4.7
1005,70697,3.3
1005,116797,2.7
1005,3409,1.6
1005,6058,1.5
1005,43679,1.3
1007,49530,5
1007,50,4.9
1007,7373,2.4
1007,120466,4
1007,1198,4.4
1007,1291,4.2
1007,59615,3.5
1007,46335,1.7
1007,6383,1.4
1007,67923,1.2
1008,65514,5
1008,167018,3.7
1008,140174,4.5
1008,179895,3.9
1008,158735,3.2
1008,5444,2.8
1008,176651,2.6
1008,79553,2.5
1008,152591,3.3
1008,74754,0.8
1009,167976,3.3
1009,8914,3.6
1009,51662,3.9
1009,190183,2.5
1009,109673,2.7
1009,157671,3.1
1009,122924,3.2
1009,179955,3
1009,135536,2.9
1009,95167,3.7
1010,122912,5
1010,189333,4.7
1010,586,4.3
1010,2953,3.9
1010,122922,3.8
1010,111781,3.6
1010,91630,3.3
1010,31878,3.2
1010,89745,3
1010,122892,1.9
1011,58559,4.6
1011,91529,4.4
1011,480,4
1011,122916,3.9
1011,4022,3.7
1011,6550,2
1011,97938,1.8
1011,78637,1.6
1011,4306,1.5
1011,109804,1.4
1012,65514,5
1012,1527,4.8
1012,91653,4.2
1012,79553,4
1012,152591,3.8
1012,53464,3.2
1012,170891,2.2
1012,79232,2
1012,159972,1.7
1012,140962,1.5
1013,180297,4.8
1013,168248,4.7
1013,33794,4.6
1013,115149,4.5
1013,89745,4.2
1013,59315,3.9
1013,122882,2
1013,186985,1.4
1013,74754,0.5
1013,129707,0.8
1013,135258,2.6
1013,106892,2.2
1013,181739,1.8
1013,187715,2
1013,144576,2.8
1013,149586,1.9
1013,185489,1.5
1013,5255,1.3
1013,105355,1
1013,170729,0.8
1014,192365,5
1014,318,4.7
1014,1,4.4
1014,78499,4.3
1014,59315,4.1
1014,179401,3.8
1014,2403,1.8
1014,191367,1.3
1014,192307,1
1014,117490,0.9
1015,1196,4.9
1015,148626,4.5
1015,1210,4.7
1015,2628,4.6
1015,61160,3.4
1015,179819,2.6
1015,103772,3.2
1015,97938,2.7
1015,187595,2.9
1015,166528,3.1
1016,109487,5
1016,31878,4.5
1016,5952,5
1016,4993,4.8
1016,7153,5
1016,58559,5
1016,586,4.9
1016,3114,4.8
1016,2953,4.9
1016,1,4.7
1017,122912,5
1017,3147,4.7
1017,47,4.8
1017,112552,4.6
1017,858,4.9
1017,2959,4.7
1017,48780,4.9
1017,356,4.4
1017,2991,2.7
1017,49272,2.5
1018,99114,5
1018,59784,3.8
1018,1,4.8
1018,3114,4.1
1018,6618,4.3
1018,60069,3.5
1018,26934,4
1018,56782,4.7
1018,106782,4.9
1018,73881,3.7
1019,183837,4.6
1019,187541,4.4
1019,8961,4.2
1019,174055,4
1019,176101,3.8
1019,119145,3.5
1019,173941,3.3
1019,177615,3.1
1019,8957,2
1019,192283,3.7
1020,143347,4.3
1020,167370,1.6
1020,160980,4
1020,57368,2.3
1020,152077,3.1
1020,152081,2.8
1020,163645,3.8
1020,161634,4.2
1020,146656,2.7
1020,122904,3.5
1021,168248,5
1021,135143,3.8
1021,159755,3.7
1021,160565,3.6
1021,89745,3.5
1021,151455,2.9
1021,160271,2.6
1021,115149,3.2
1021,162606,2.3
1021,136864,1.5
1022,122882,4.6
1022,128360,4.5
1022,122900,4.2
1022,188301,3.9
1022,176101,3.8
1022,134368,3.3
1022,119145,3.8
1022,189333,3.5
1022,91630,3.7
1022,134130,3.2
1023,174055,4.8
1023,179817,4.6
1023,1,4.4
1023,180297,4
1023,88744,3.1
1023,179881,4.2
1023,175569,3.7
1023,171763,3.8
1023,173145,3.4
1023,112623,2.7
1024,193635,1.7
1024,1,4.2
1024,174055,4
1024,78499,3.8
1024,8984,3.6
1024,180031,2.5
1024,190195,2.1
1024,188857,1.5
1024,102028,1.9
1024,193859,1.3
1025,122892,5
1025,110439,4.5
1025,122201,4
1025,151157,3.1
1025,150872,3
1025,53322,2.5
1025,96762,2
1025,145130,2.3
1025,3034,1.8
1025,313,1.7
